lat,lon,time
18.245386,109.513275,14
18.32075,109.70136,74
18.297674,109.38009,47
18.293081,109.430954,6
18.29658,109.53363,52
18.300335,109.44988,77
18.227533,109.62179,10
18.402117,109.78003,100
18.261425,109.498146,36
18.297764,109.52124,25
18.297615,109.38047,69
18.26565,109.49532,96
18.300205,109.528694,66
18.271883,109.5088,53
18.282848,109.582146,46
18.269518,109.48144,1
18.295343,109.515045,63
18.27925,109.492744,27
18.279707,109.49725,87
18.274916,109.571075,78
18.391016,109.74804,95
18.282217,109.573746,74
18.228107,109.626625,25
18.305998,109.20548,34
18.25439,109.50912,28
18.290024,109.47484,8
18.223713,109.51658,50
18.255003,109.51464,81
18.268753,109.48248,10
18.234306,109.51323,31
18.299957,109.45142,60
18.273918,109.48438,85
18.26088,109.49725,81
18.263662,109.48761,70
18.297209,109.51964,38
18.269331,109.499725,8
18.256054,109.56311,22
18.295263,109.52877,8
18.301846,109.39284,37
18.300411,109.51972,57
18.286285,109.49795,37
18.270756,109.48001,72
18.269653,109.50351,59
18.264194,109.48761,41
18.330372,109.72756,54
18.242737,109.50944,30
18.263454,109.502396,94
18.311346,109.46016,80
18.269651,109.490746,76
18.314714,109.526566,65
18.288696,109.43964,50
18.253708,109.61551,86
18.288239,109.49886,47
18.307941,109.43321,82
18.288273,109.439224,65
18.295639,109.52988,64
18.274862,109.50655,73
18.406116,109.75108,57
18.274593,109.50597,7
18.327631,109.68346,15
18.297367,109.48969,16
18.288832,109.488754,9
18.30404,109.49085,19
18.269821,109.49065,43
18.272121,109.51347,88
18.249525,109.51208,45
18.283337,109.49549,82
18.228247,109.62663,67
18.265831,109.489174,50
18.267437,109.49106,67
18.316563,109.700096,32
18.23103,109.63139,7
18.305922,109.20566,35
18.294302,109.71209,2
18.234627,109.63861,26
18.310131,109.60925,41
18.377686,109.72167,19
18.230106,109.48936,14
18.231575,109.5188,62
18.32122,109.70158,44
18.302486,109.60115,82
18.237448,109.547264,5
18.253628,109.50449,29
18.270239,109.49634,13
18.232512,109.53424,68
18.295288,109.51589,98
18.348577,109.73525,41
18.231752,109.51827,11
18.244165,109.55736,18
18.261421,109.49057,5
18.275677,109.510414,59
18.585243,109.61839,6
18.256536,109.49976,44
18.286776,109.48607,15
18.273224,109.51271,79
18.29404,109.49541,57
18.242565,109.54076,11
18.302134,109.49375,57
18.301268,109.501785,45
18.282576,109.57423,89
18.270603,109.48032,63
18.287159,109.49971,74
18.258766,109.49917,41
18.295713,109.52928,100
18.268557,109.49984,48
18.270931,109.4796,37
18.300386,109.47666,12
18.29202,109.42023,33
18.306307,109.33065,37
18.275505,109.50533,98
18.301985,109.52718,6
18.29931,109.69437,8
18.273348,109.50466,50
18.241749,109.63629,53
18.226368,109.62209,5
18.2583,109.49925,38
20.000723,110.33404,78
18.289158,109.49303,55
18.3096,109.40806,94
18.247854,109.497505,88
18.2669,109.4983,45
18.318518,109.57908,56
18.29049,109.3981,69
18.242159,109.48888,100
18.295122,109.52908,94
18.267416,109.498344,21
18.322939,109.62656,94
18.284063,109.45411,27
18.247173,109.50774,9
18.272879,109.5096,82
18.224815,109.51641,80
18.40112,109.74671,91
18.28982,109.52438,87
18.23527,109.516525,78
18.279408,109.49261,86
18.289835,109.429756,39
18.319471,109.2304,31
18.289053,109.44545,62
18.286818,109.50007,50
18.288073,109.43971,21
18.295574,109.43739,63
18.26369,109.48766,40
18.28774,109.553696,45
18.302639,109.4408,44
18.27019,109.485664,36
18.316246,109.69988,46
18.25037,109.5069,76
18.37876,109.72113,90
18.29739,109.489,89
18.23417,109.51347,70
18.264673,109.494576,51
18.267725,109.498,14
18.265873,109.50674,34
18.350742,109.7345,82
18.30597,109.20574,92
18.263483,109.49314,19
18.265549,109.4891,27
18.291039,109.50391,59
18.292454,109.398506,21
18.284613,109.49026,43
18.280617,109.507805,46
18.282322,109.574196,73
18.255394,109.50311,30
18.456322,108.95033,64
18.296354,109.489815,84
18.24207,109.51369,24
18.265074,109.488464,74
18.292458,109.38902,65
18.30192,109.495476,14
18.253717,109.5042,72
18.376354,109.74687,23
18.267775,109.49752,51
18.300957,109.69436,6
18.253347,109.50415,50
18.289465,109.48488,33
18.246336,109.50504,5
18.30954,109.42035,77
18.291758,109.59236,16
18.2282,109.62663,62
18.328045,109.65449,38
18.261478,109.494835,80
18.313587,109.6146,98
18.271458,109.48879,15
18.233484,109.51431,49
18.236917,109.628685,35
18.285635,109.49776,60
18.27308,109.504295,67
18.329016,109.68922,67
18.25346,109.50378,36
18.26928,109.496826,13
18.28867,109.424576,81
18.291145,109.50412,26
18.236847,109.5426,53
18.26145,109.49809,96
18.287539,109.49469,27
18.302404,109.49398,74
18.264406,109.51091,9
18.320993,109.5568,41
18.309805,109.40797,22
18.301193,109.51076,74
18.298164,109.5218,79
18.225246,109.52126,81
18.255495,109.49977,57
18.254984,109.49527,47
18.276966,109.47077,59
18.263475,109.51657,2
18.280214,109.493095,23
18.234583,109.65431,10
18.241077,109.50552,47
18.254183,109.508224,60
18.240217,109.508965,79
18.300156,109.450806,36
18.4251,109.820015,31
18.26543,109.49374,46
18.228159,109.52885,9
18.271095,109.50155,29
18.300219,109.52714,57
18.226923,109.51132,43
18.28553,109.5551,42
18.302343,109.43833,18
18.283575,109.48951,85
18.28573,109.4498,75
18.286568,109.5002,84
18.253273,109.50045,81
18.287247,109.53068,6
18.29332,109.71436,53
18.233963,109.51398,4
18.283613,109.59032,3
18.263475,109.493126,46
18.277254,109.50926,85
18.24251,109.50256,41
18.28922,109.48794,11
18.250563,109.620415,45
18.24803,109.49906,78
18.22103,109.50832,39
18.28622,109.57545,74
18.401842,109.66111,22
18.30064,109.44931,18
18.236813,109.50844,79
19.999254,110.31594,94
18.29851,109.52327,7
18.224813,109.52468,100
18.370438,109.74496,80
18.289246,109.4845,74
18.285112,109.497665,14
18.273746,109.50489,12
18.288984,109.44324,47
18.246416,109.508,26
18.2993,109.52756,57
18.279797,109.49235,39
18.297441,109.697525,35
18.211308,109.48015,73
18.234295,109.51336,10
18.290565,109.41386,38
18.271116,109.50236,19
18.258295,109.49297,78
18.368813,109.63443,70
18.325438,109.69786,79
18.225418,109.52424,74
18.404503,109.75066,70
18.300991,109.440155,16
18.280502,109.491875,72
18.293346,109.41977,79
18.286411,109.4986,96
18.27808,109.468994,91
18.286629,109.55466,64
18.28936,109.495415,77
18.25637,109.49413,28
18.28649,109.48618,77
18.58901,110.17594,81
18.286938,109.50002,9
18.28784,109.44878,15
18.262619,109.50376,81
18.25652,109.49631,99
18.311516,109.69832,80
18.254572,109.51209,78
18.274849,109.51117,28
18.264574,109.48682,17
18.243324,109.55571,9
18.32525,109.680664,32
18.24789,109.49962,58
18.260012,109.498886,81
18.297857,109.45743,37
18.234562,109.53715,95
