lat,lon
18.245386,109.513275
18.32075,109.70136
18.297674,109.38009
18.293081,109.430954
18.29658,109.53363
18.300335,109.44988
18.227533,109.62179
18.402117,109.78003
18.261425,109.498146
18.297764,109.52124
18.297615,109.38047
18.26565,109.49532
18.300205,109.528694
18.271883,109.5088
18.282848,109.582146
18.269518,109.48144
18.295343,109.515045
18.27925,109.492744
18.279707,109.49725
18.274916,109.571075
18.391016,109.74804
18.282217,109.573746
18.228107,109.626625
18.305998,109.20548
18.25439,109.50912
18.290024,109.47484
18.223713,109.51658
18.255003,109.51464
18.268753,109.48248
18.234306,109.51323
18.299957,109.45142
18.273918,109.48438
18.26088,109.49725
18.263662,109.48761
18.297209,109.51964
18.269331,109.499725
18.256054,109.56311
18.295263,109.52877
18.301846,109.39284
18.300411,109.51972
18.286285,109.49795
18.270756,109.48001
18.269653,109.50351
18.264194,109.48761
18.330372,109.72756
18.242737,109.50944
18.263454,109.502396
18.311346,109.46016
18.269651,109.490746
18.314714,109.526566
18.288696,109.43964
18.253708,109.61551
18.288239,109.49886
18.307941,109.43321
18.288273,109.439224
18.295639,109.52988
18.274862,109.50655
18.406116,109.75108
18.274593,109.50597
18.327631,109.68346
18.297367,109.48969
18.288832,109.488754
18.30404,109.49085
18.269821,109.49065
18.272121,109.51347
18.249525,109.51208
18.283337,109.49549
18.228247,109.62663
18.265831,109.489174
18.267437,109.49106
18.316563,109.700096
18.23103,109.63139
18.305922,109.20566
18.294302,109.71209
18.234627,109.63861
18.310131,109.60925
18.377686,109.72167
18.230106,109.48936
18.231575,109.5188
18.32122,109.70158
18.302486,109.60115
18.237448,109.547264
18.253628,109.50449
18.270239,109.49634
18.232512,109.53424
18.295288,109.51589
18.348577,109.73525
18.231752,109.51827
18.244165,109.55736
18.261421,109.49057
18.275677,109.510414
18.585243,109.61839
18.256536,109.49976
18.286776,109.48607
18.273224,109.51271
18.29404,109.49541
18.242565,109.54076
18.302134,109.49375
18.301268,109.501785
18.282576,109.57423
18.270603,109.48032
18.287159,109.49971
18.258766,109.49917
18.295713,109.52928
18.268557,109.49984
18.270931,109.4796
18.300386,109.47666
18.29202,109.42023
18.306307,109.33065
18.275505,109.50533
18.301985,109.52718
18.29931,109.69437
18.273348,109.50466
18.241749,109.63629
18.226368,109.62209
18.2583,109.49925
20.000723,110.33404
18.289158,109.49303
18.3096,109.40806
18.247854,109.497505
18.2669,109.4983
18.318518,109.57908
18.29049,109.3981
18.242159,109.48888
18.295122,109.52908
18.267416,109.498344
18.322939,109.62656
18.284063,109.45411
18.247173,109.50774
18.272879,109.5096
18.224815,109.51641
18.40112,109.74671
18.28982,109.52438
18.23527,109.516525
18.279408,109.49261
18.289835,109.429756
18.319471,109.2304
18.289053,109.44545
18.286818,109.50007
18.288073,109.43971
18.295574,109.43739
18.26369,109.48766
18.28774,109.553696
18.302639,109.4408
18.27019,109.485664
18.316246,109.69988
18.25037,109.5069
18.37876,109.72113
18.29739,109.489
18.23417,109.51347
18.264673,109.494576
18.267725,109.498
18.265873,109.50674
18.350742,109.7345
18.30597,109.20574
18.263483,109.49314
18.265549,109.4891
18.291039,109.50391
18.292454,109.398506
18.284613,109.49026
18.280617,109.507805
18.282322,109.574196
18.255394,109.50311
18.456322,108.95033
18.296354,109.489815
18.24207,109.51369
18.265074,109.488464
18.292458,109.38902
18.30192,109.495476
18.253717,109.5042
18.376354,109.74687
18.267775,109.49752
18.300957,109.69436
18.253347,109.50415
18.289465,109.48488
18.246336,109.50504
18.30954,109.42035
18.291758,109.59236
18.2282,109.62663
18.328045,109.65449
18.261478,109.494835
18.313587,109.6146
18.271458,109.48879
18.233484,109.51431
18.236917,109.628685
18.285635,109.49776
18.27308,109.504295
18.329016,109.68922
18.25346,109.50378
18.26928,109.496826
18.28867,109.424576
18.291145,109.50412
18.236847,109.5426
18.26145,109.49809
18.287539,109.49469
18.302404,109.49398
18.264406,109.51091
18.320993,109.5568
18.309805,109.40797
18.301193,109.51076
18.298164,109.5218
18.225246,109.52126
18.255495,109.49977
18.254984,109.49527
18.276966,109.47077
18.263475,109.51657
18.280214,109.493095
