lon,lat
109.513275,18.245386
109.70136,18.32075
109.38009,18.297674
109.430954,18.293081
109.53363,18.29658
109.44988,18.300335
109.62179,18.227533
109.78003,18.402117
109.498146,18.261425
109.52124,18.297764
109.38047,18.297615
109.49532,18.26565
109.528694,18.300205
109.5088,18.271883
109.582146,18.282848
109.48144,18.269518
109.515045,18.295343
109.492744,18.27925
109.49725,18.279707
109.571075,18.274916
109.74804,18.391016
109.573746,18.282217
109.626625,18.228107
109.20548,18.305998
109.50912,18.25439
109.47484,18.290024
109.51658,18.223713
109.51464,18.255003
109.48248,18.268753
109.51323,18.234306
109.45142,18.299957
109.48438,18.273918
109.49725,18.26088
109.48761,18.263662
109.51964,18.297209
109.499725,18.269331
109.56311,18.256054
109.52877,18.295263
109.39284,18.301846
109.51972,18.300411
109.49795,18.286285
109.48001,18.270756
109.50351,18.269653
109.48761,18.264194
109.72756,18.330372
109.50944,18.242737
109.502396,18.263454
109.46016,18.311346
109.490746,18.269651
109.526566,18.314714
109.43964,18.288696
109.61551,18.253708
109.49886,18.288239
109.43321,18.307941
109.439224,18.288273
109.52988,18.295639
109.50655,18.274862
109.75108,18.406116
109.50597,18.274593
109.68346,18.327631
109.48969,18.297367
109.488754,18.288832
109.49085,18.30404
109.49065,18.269821
109.51347,18.272121
109.51208,18.249525
109.49549,18.283337
109.62663,18.228247
109.489174,18.265831
109.49106,18.267437
109.700096,18.316563
109.63139,18.23103
109.20566,18.305922
109.71209,18.294302
109.63861,18.234627
109.60925,18.310131
109.72167,18.377686
109.48936,18.230106
109.5188,18.231575
109.70158,18.32122
109.60115,18.302486
109.547264,18.237448
109.50449,18.253628
109.49634,18.270239
109.53424,18.232512
109.51589,18.295288
109.73525,18.348577
109.51827,18.231752
109.55736,18.244165
109.49057,18.261421
109.510414,18.275677
109.61839,18.585243
109.49976,18.256536
109.48607,18.286776
109.51271,18.273224
109.49541,18.29404
109.54076,18.242565
109.49375,18.302134
109.501785,18.301268
109.57423,18.282576
109.48032,18.270603
109.49971,18.287159
109.49917,18.258766
109.52928,18.295713
109.49984,18.268557
109.4796,18.270931
109.47666,18.300386
109.42023,18.29202
109.33065,18.306307
109.50533,18.275505
109.52718,18.301985
109.69437,18.29931
109.50466,18.273348
109.63629,18.241749
109.62209,18.226368
109.49925,18.2583
110.33404,20.000723
109.49303,18.289158
109.40806,18.3096
109.497505,18.247854
109.4983,18.2669
109.57908,18.318518
109.3981,18.29049
109.48888,18.242159
109.52908,18.295122
109.498344,18.267416
109.62656,18.322939
109.45411,18.284063
109.50774,18.247173
109.5096,18.272879
109.51641,18.224815
109.74671,18.40112
109.52438,18.28982
109.516525,18.23527
109.49261,18.279408
109.429756,18.289835
109.2304,18.319471
109.44545,18.289053
109.50007,18.286818
109.43971,18.288073
109.43739,18.295574
109.48766,18.26369
109.553696,18.28774
109.4408,18.302639
109.485664,18.27019
109.69988,18.316246
109.5069,18.25037
109.72113,18.37876
109.489,18.29739
109.51347,18.23417
109.494576,18.264673
109.498,18.267725
109.50674,18.265873
109.7345,18.350742
109.20574,18.30597
109.49314,18.263483
109.4891,18.265549
109.50391,18.291039
109.398506,18.292454
109.49026,18.284613
109.507805,18.280617
109.574196,18.282322
109.50311,18.255394
108.95033,18.456322
109.489815,18.296354
109.51369,18.24207
109.488464,18.265074
109.38902,18.292458
109.495476,18.30192
109.5042,18.253717
109.74687,18.376354
109.49752,18.267775
109.69436,18.300957
109.50415,18.253347
109.48488,18.289465
109.50504,18.246336
109.42035,18.30954
109.59236,18.291758
109.62663,18.2282
109.65449,18.328045
109.494835,18.261478
109.6146,18.313587
109.48879,18.271458
109.51431,18.233484
109.628685,18.236917
109.49776,18.285635
109.504295,18.27308
109.68922,18.329016
109.50378,18.25346
109.496826,18.26928
109.424576,18.28867
109.50412,18.291145
109.5426,18.236847
109.49809,18.26145
109.49469,18.287539
109.49398,18.302404
109.51091,18.264406
109.5568,18.320993
109.40797,18.309805
109.51076,18.301193
109.5218,18.298164
109.52126,18.225246
109.49977,18.255495
109.49527,18.254984
109.47077,18.276966
109.51657,18.263475
109.493095,18.280214
109.65431,18.234583
109.50552,18.241077
109.508224,18.254183
109.508965,18.240217
109.450806,18.300156
109.820015,18.4251
109.49374,18.26543
109.52885,18.228159
109.50155,18.271095
109.52714,18.300219
109.51132,18.226923
109.5551,18.28553
109.43833,18.302343
109.48951,18.283575
109.4498,18.28573
109.5002,18.286568
109.50045,18.253273
109.53068,18.287247
109.71436,18.29332
109.51398,18.233963
109.59032,18.283613
109.493126,18.263475
109.50926,18.277254
109.50256,18.24251
109.48794,18.28922
109.620415,18.250563
109.49906,18.24803
109.50832,18.22103
109.57545,18.28622
109.66111,18.401842
109.44931,18.30064
109.50844,18.236813
110.31594,19.999254
109.52327,18.29851
109.52468,18.224813
109.74496,18.370438
109.4845,18.289246
109.497665,18.285112
109.50489,18.273746
109.44324,18.288984
109.508,18.246416
109.52756,18.2993
109.49235,18.279797
109.697525,18.297441
109.48015,18.211308
109.51336,18.234295
109.41386,18.290565
109.50236,18.271116
109.49297,18.258295
109.63443,18.368813
109.69786,18.325438
109.52424,18.225418
109.75066,18.404503
109.440155,18.300991
109.491875,18.280502
109.41977,18.293346
109.4986,18.286411
109.468994,18.27808
109.55466,18.286629
109.495415,18.28936
109.49413,18.25637
109.48618,18.28649
110.17594,18.58901
109.50002,18.286938
109.44878,18.28784
109.50376,18.262619
109.49631,18.25652
109.69832,18.311516
109.51209,18.254572
109.51117,18.274849
109.48682,18.264574
109.55571,18.243324
109.680664,18.32525
109.49962,18.24789
109.498886,18.260012
109.45743,18.297857
109.53715,18.234562
109.50516,18.24471
109.50177,18.25644
109.48971,18.270708
109.49984,18.255726
109.48791,18.273108
109.5004,18.28639
109.50583,18.274515
109.51575,18.24593
109.4845,18.2888
109.50821,18.233238
109.530785,18.295242
109.51645,18.224768
109.496956,18.263353
109.416374,18.310652
109.49992,18.261566
109.51209,18.224714
109.425674,18.30833
109.49786,18.267612
109.73619,18.350399
109.49216,18.279444
109.52269,18.288439
109.630936,18.23167
109.62875,18.230795
109.49354,18.302034
109.491585,18.286697
109.7108,18.29132
109.575035,18.277517
109.48288,18.268393
109.60442,18.29649
109.413765,18.290556
109.430084,18.293028
109.47408,18.28215
109.63175,18.230944
109.49944,18.246016
109.52473,18.280512
109.39293,18.299208
109.60952,18.310091
109.513824,18.244062
109.49126,18.289234
109.73768,18.352226
109.38268,18.29095
109.485016,18.28812
109.51186,18.264776
109.59613,18.295918
109.634514,18.368084
109.43747,18.288614
109.741066,18.39618
109.392944,18.30293
109.50669,18.260378
109.618,18.255898
109.488686,18.296127
109.48269,18.26858
109.55821,18.321213
109.50671,18.260311
109.50004,18.286835
109.49042,18.27034
109.49869,18.269379
109.386375,18.298075
110.3086,19.999706
109.70883,18.294458
109.49511,18.289696
109.56773,18.267359
109.492455,18.279493
109.49461,18.285482
109.55037,18.289309
109.51028,18.2781
109.51508,18.23425
109.453514,18.284388
109.52003,18.244183
109.50542,18.226007
109.49929,18.262203
109.51311,18.272478
109.48971,18.262136
109.576126,18.27802
109.519516,18.285355
109.5335,18.296331
109.479935,18.289398
109.65419,18.23414
109.49277,18.28962
109.48843,18.29732
109.50885,18.2631
109.542435,18.23672
109.514015,18.271622
109.516624,18.223677
109.71029,18.3663
109.4585,18.323122
109.439186,18.291286
109.575066,18.277493
109.49918,18.287773
109.49927,18.268267
109.43665,18.292458
109.48946,18.262213
109.2056,18.305738
109.41364,18.290543
109.710304,18.36642
109.50538,18.241331
109.452705,18.299082
109.4911,18.296234
109.62444,18.2291
109.441216,18.317059
109.52036,18.223532
109.480316,18.270662
109.528854,18.294907
109.51051,18.28139
109.71067,18.291903
109.50505,18.245218
109.49363,18.215504
109.43916,18.291151
109.50668,18.249983
109.574974,18.281982
109.42052,18.309496
109.49812,18.267906
109.44159,18.30002
109.47878,18.289335
109.50193,18.230183
109.4043,18.29068
109.57297,18.282475
109.51992,18.225393
109.49759,18.231894
109.58838,18.28353
109.51706,18.255484
109.4986,18.266424
109.39498,18.290377
109.531746,18.30294
109.43739,18.288542
109.62434,18.227816
109.48882,18.242569
109.51769,18.284195
109.72263,18.319645
109.4394,18.288282
109.51675,18.25732
109.501366,18.221508
109.47013,18.292948
109.49746,18.285439
109.51364,18.24289
109.50252,18.263563
109.557274,18.244505
109.507,18.26553
109.48909,18.283154
109.49661,18.255596
109.50848,18.272041
109.50318,18.268179
109.508644,18.218412
109.49971,18.255648
109.50568,18.237524
109.52,18.317463
109.51381,18.230646
109.506935,18.2541
109.49492,18.265665
109.62856,18.23083
109.49189,18.263557
109.61371,18.219824
